Reach angle(rad),Effective mass (Right arm),Effective mass (Left arm)
0,2.984789986,3.618392821
0.09817477,2.718476875,3.789527004
0.196349541,2.45826522,3.941825116
0.294524311,2.213833176,4.07403164
0.392699082,1.99765516,4.184951263
0.490873852,1.824330493,4.273384014
0.589048623,1.708006196,4.338082747
0.687223393,1.659331826,4.377731799
0.785398163,1.684309206,4.390952167
0.883572934,1.783255589,4.376342755
0.981747704,1.948129999,4.332568083
1.079922475,2.163055519,4.258499099
1.178097245,2.409642284,4.153404583
1.276272016,2.671592096,4.017177646
1.374446786,2.936008373,3.850569651
1.472621556,3.192948985,3.65539995
1.570796327,3.434721164,3.434721164
1.668971097,3.65539995,3.192948985
1.767145868,3.850569651,2.936008373
1.865320638,4.017177646,2.671592096
1.963495408,4.153404583,2.409642284
2.061670179,4.258499099,2.163055519
2.159844949,4.332568083,1.948129999
2.25801972,4.376342755,1.783255589
2.35619449,4.390952167,1.684309206
2.454369261,4.377731799,1.659331826
2.552544031,4.338082747,1.708006196
2.650718801,4.273384014,1.824330493
2.748893572,4.184951263,1.99765516
2.847068342,4.07403164,2.213833176
2.945243113,3.941825116,2.45826522
3.043417883,3.789527004,2.718476875
3.141592654,3.618392821,2.984789986
3.239767424,3.429835849,3.249809408
3.337942194,3.225580807,3.50762314
3.436116965,3.007916502,3.753086333
3.534291735,2.780116916,3.981249083
3.632466506,2.547121524,4.186901921
3.730641276,2.31651579,4.364219566
3.828816047,2.099533304,4.506519082
3.926990817,1.911025349,4.606192119
4.025165587,1.767310432,4.654910591
4.123340358,1.684861185,4.64422171
4.221515128,1.685849496,4.566611822
4.319689899,1.800231356,4.417001176
4.417864669,2.03957815,4.194440889
4.51603944,2.375752613,3.903599254
4.61421421,2.764692297,3.55559951
4.71238898,3.168049364,3.168049364
4.810563751,3.55559951,2.764692297
4.908738521,3.903599254,2.375752613
5.006913292,4.194440889,2.03957815
5.105088062,4.417001176,1.800231356
5.203262833,4.566611822,1.685849496
5.301437603,4.64422171,1.684861185
5.399612373,4.654910591,1.767310432
5.497787144,4.606192119,1.911025349
5.595961914,4.506519082,2.099533304
5.694136685,4.364219566,2.31651579
5.792311455,4.186901921,2.547121524
5.890486225,3.981249083,2.780116916
5.988660996,3.753086333,3.007916502
6.086835766,3.50762314,3.225580807
6.185010537,3.249809408,3.429835849
6.283185307,2.984789986,3.618392821